Number,Text
1,안녕
2,그럼 잘지내지
3,에베벱베ㅔ
4,오늘 날씨가 좋다
5,라면먹고갈래?
6,잡상인 사절이요
7,우유 안마셔요
8,남자친구 있어요
9,신천지 안믿어요
10,뭐 매일 똑같지
11,나야 잘지내지
12,그래그래
13,사는게 쉽지 않아
14,너때문에 잘못지낸다 이놈아
15,신문 안읽어요
16,아니요 요즘 코로나때문에 힘들어요
17,힘들어도 그냥 사는거죠
18,요즘 너무 행복해요
19,말할 기분이 아니네요
20,넌 뭐야 썩 꺼져
21,자네가 방금 뭐라고 했더라?
22,뭐라고?잘안들려
23,아들놈 떄문에 고민이야
24,자넨 누군가?
25,궁금해?
26,글쎄 잘지낼까? 못 지낼까?
27,…......
28,하하하하하하 너무 잘지내서 탈이지
29,요즘 모험가들 때문에 정신이 없어
30,용병들 때문에 정신없이 지내지
31,가게에 파리만 날리네
32,새로운 물건을 만드는 중인데 한번보여줄까?
33,그런게 뭐가 중요하겠어
34,나 무서워~~ 이러다 다죽어~~!
35,우리 깐부할까?
36,자네가 날 속인건 말이되고?
37,기훈이형!
38,미춌오 개소리하지마
39,나 한미녀야~
40,돈이 많은 사람과 돈이 없는사람의 공통점이 뭔줄아나?
41,도를 아십니까?
42,기가 참 맑으세요
43,우리집에서 하루 묵고 가지 않겠나?
44,두유노 BTS? 두유노 싸이?
45,사랑해요 연예가중계
